phi_deg,theta_deg,C_joint,C_decoupled,delta_C
32.727273,9.473684,0.781160,0.783229,-0.002069
32.727273,14.210526,0.777635,0.783229,-0.005595
32.727273,18.947368,0.772864,0.783229,-0.010366
32.727273,23.684211,0.767206,0.783229,-0.016023
32.727273,28.421053,0.761013,0.783229,-0.022216
32.727273,33.157895,0.754607,0.783229,-0.028623
32.727273,37.894737,0.748260,0.783229,-0.034969
32.727273,42.631579,0.742171,0.783229,-0.041058
32.727273,47.368421,0.736450,0.783229,-0.046780
32.727273,52.105263,0.731135,0.783229,-0.052094
32.727273,56.842105,0.726252,0.783229,-0.056977
32.727273,61.578947,0.721881,0.783229,-0.061349
32.727273,66.315789,0.718181,0.783229,-0.065048
32.727273,71.052632,0.715360,0.783229,-0.067869
32.727273,75.789474,0.713595,0.783229,-0.069634
32.727273,80.526316,0.712993,0.783229,-0.070237
32.727273,85.263158,0.713576,0.783229,-0.069654
32.727273,90.000000,0.715256,0.783229,-0.067973
34.545455,0.000000,0.782213,0.782213,0.000000
34.545455,4.736842,0.782578,0.782213,0.000365
34.545455,9.473684,0.781045,0.782213,-0.001168
34.545455,14.210526,0.777816,0.782213,-0.004397
34.545455,18.947368,0.773211,0.782213,-0.009002
34.545455,23.684211,0.767604,0.782213,-0.014609
34.545455,28.421053,0.761376,0.782213,-0.020838
34.545455,33.157895,0.754880,0.782213,-0.027333
34.545455,37.894737,0.748420,0.782213,-0.033793
34.545455,42.631579,0.742215,0.782213,-0.039998
34.545455,47.368421,0.736393,0.782213,-0.045820
34.545455,52.105263,0.731007,0.782213,-0.051206
34.545455,56.842105,0.726090,0.782213,-0.056123
34.545455,61.578947,0.721721,0.782213,-0.060492
34.545455,66.315789,0.718054,0.782213,-0.064159
34.545455,71.052632,0.715285,0.782213,-0.066928
34.545455,75.789474,0.713579,0.782213,-0.068635
34.545455,80.526316,0.713032,0.782213,-0.069182
34.545455,85.263158,0.713661,0.782213,-0.068552
34.545455,90.000000,0.715375,0.782213,-0.066838
36.363636,0.000000,0.780772,0.780772,0.000000
36.363636,4.736842,0.781617,0.780772,0.000845
36.363636,9.473684,0.780531,0.780772,-0.000241
36.363636,14.210526,0.777656,0.780772,-0.003116
36.363636,18.947368,0.773286,0.780772,-0.007486
36.363636,23.684211,0.767797,0.780772,-0.012975
36.363636,28.421053,0.761592,0.780772,-0.019180
36.363636,33.157895,0.755056,0.780772,-0.025716
36.363636,37.894737,0.748518,0.780772,-0.032254
36.363636,42.631579,0.742224,0.780772,-0.038548
36.363636,47.368421,0.736322,0.780772,-0.044450
36.363636,52.105263,0.730879,0.780772,-0.049893
36.363636,56.842105,0.725936,0.780772,-0.054836
36.363636,61.578947,0.721575,0.780772,-0.059197
36.363636,66.315789,0.717941,0.780772,-0.062831
36.363636,71.052632,0.715220,0.780772,-0.065552
36.363636,75.789474,0.713567,0.780772,-0.067205
36.363636,80.526316,0.713069,0.780772,-0.067703
36.363636,85.263158,0.713736,0.780772,-0.067036
36.363636,90.000000,0.715477,0.780772,-0.065295
38.181818,0.000000,0.778953,0.778953,0.000000
38.181818,4.736842,0.780259,0.778953,0.001306
38.181818,9.473684,0.779636,0.778953,0.000682
38.181818,14.210526,0.777161,0.778953,-0.001792
