phi_deg,theta_deg,delta_C_avg,delta_C_min
138.181818,14.210526,-0.01377654,-0.02660923
140.000000,14.210526,-0.01343669,-0.02734260
141.818182,14.210526,-0.01303416,-0.02800271
143.636364,14.210526,-0.01256929,-0.02860335
145.454545,14.210526,-0.01204270,-0.02915965
147.272727,14.210526,-0.01145536,-0.02968801
149.090909,14.210526,-0.01080861,-0.03020614
150.909091,14.210526,-0.01010420,-0.03073301
152.727273,14.210526,-0.00934441,-0.03128877
154.545455,14.210526,-0.00853206,-0.03189474
156.363636,14.210526,-0.00767064,-0.03257327
158.181818,14.210526,-0.00676437,-0.03334765
160.000000,14.210526,-0.00581835,-0.03424197
161.818182,14.210526,-0.00483862,-0.03528085
163.636364,14.210526,-0.00383233,-0.03648926
165.454545,14.210526,-0.00280787,-0.03789217
167.272727,14.210526,-0.00177498,-0.03951411
169.090909,14.210526,-0.00074489,-0.04137870
170.909091,14.210526,0.00026957,-0.04350805
172.727273,14.210526,0.00125386,-0.04592201
174.545455,14.210526,0.00219173,-0.04863727
176.363636,14.210526,0.00306524,-0.05166639
178.181818,14.210526,0.00385488,-0.05501658
180.000000,14.210526,0.00453983,-0.05868836
0.000000,18.947368,-0.00347608,-0.08011614
1.818182,18.947368,-0.00430836,-0.08379370
3.636364,18.947368,-0.00521417,-0.08748136
5.454545,18.947368,-0.00618096,-0.09114665
7.272727,18.947368,-0.00719229,-0.09403287
9.090909,18.947368,-0.00822756,-0.09210084
10.909091,18.947368,-0.00926190,-0.08987088
12.727273,18.947368,-0.01026635,-0.08736672
14.545455,18.947368,-0.01120826,-0.08461974
16.363636,18.947368,-0.01205228,-0.08166908
18.181818,18.947368,-0.01276162,-0.07856140
20.000000,18.947368,-0.01329996,-0.07535013
21.818182,18.947368,-0.01363355,-0.07209434
23.636364,18.947368,-0.01373378,-0.06885695
25.454545,18.947368,-0.01357956,-0.06570257
27.272727,18.947368,-0.01315956,-0.06269484
29.090909,18.947368,-0.01247384,-0.05989363
30.909091,18.947368,-0.01153456,-0.05735205
32.727273,18.947368,-0.01036571,-0.05511383
34.545455,18.947368,-0.00900184,-0.05321106
36.363636,18.947368,-0.00748575,-0.05166263
38.181818,18.947368,-0.00586573,-0.05047355
40.000000,18.947368,-0.00419230,-0.04963508
41.818182,18.947368,-0.00251527,-0.04912585
43.636364,18.947368,-0.00088105,-0.04891356
45.454545,18.947368,0.00066935,-0.04895731
47.272727,18.947368,0.00210170,-0.04921017
49.090909,18.947368,0.00338908,-0.04962186
50.909091,18.947368,0.00451198,-0.05014115
52.727273,18.947368,0.00545784,-0.04974356
54.545455,18.947368,0.00622029,-0.04518870
56.363636,18.947368,0.00679825,-0.04087937
58.181818,18.947368,0.00719493,-0.03681781
60.000000,18.947368,0.00741692,-0.03299973
61.818182,18.947368,0.00747329,-0.02941602
63.636364,18.947368,0.00737487,-0.02605415
65.454545,18.947368,0.00713362,-0.02289940
67.272727,18.947368,0.00676213,-0.01993580
69.090909,18.947368,0.00627323,-0.01714689
70.909091,18.947368,0.00567969,-0.01451622
72.727273,18.947368,0.00499403,-0.01202777
74.545455,18.947368,0.00422835,-0.00966622
76.363636,18.947368,0.00339424,-0.00741707
78.181818,18.947368,0.00250272,-0.00526679
80.000000,18.947368,0.00156423,-0.00320276
81.818182,18.947368,0.00058862,-0.00121337
83.636364,18.947368,-0.00041489,0.00071209
85.454545,18.947368,-0.00143761,0.00258346
87.272727,18.947368,-0.00247143,0.00440976
89.090909,18.947368,-0.00350877,0.00619926
90.909091,18.947368,-0.00454251,0.00795955
92.727273,18.947368,-0.00556603,0.00969759
94.545455,18.947368,-0.00657312,0.01141981
96.363636,18.947368,-0.00755801,0.01313211
98.181818,18.947368,-0.00851527,0.01084311
100.000000,18.947368,-0.00943986,0.00685479
101.818182,18.947368,-0.01032707,0.00293194
103.636364,18.947368,-0.01117248,-0.00090934
105.454545,18.947368,-0.01197199,-0.00465446
107.272727,18.947368,-0.01272177,-0.00829024
109.090909,18.947368,-0.01341824,-0.01180499
110.909091,18.947368,-0.01405808,-0.01518841
112.727273,18.947368,-0.01463820,-0.01843166
114.545455,18.947368,-0.01515575,-0.02152726
116.363636,18.947368,-0.01560807,-0.02446914
118.181818,18.947368,-0.01599274,-0.02725262
120.000000,18.947368,-0.01630753,-0.02987438
121.818182,18.947368,-0.01655044,-0.03233244
123.636364,18.947368,-0.01671963,-0.03462620
125.454545,18.947368,-0.01681352,-0.03675639
127.272727,18.947368,-0.01683072,-0.03872511
129.090909,18.947368,-0.01677004,-0.04053577
130.909091,18.947368,-0.01663057,-0.04219317
132.727273,18.947368,-0.01641160,-0.04370341
134.545455,18.947368,-0.01611271,-0.04507398
136.363636,18.947368,-0.01573377,-0.04631370
138.181818,18.947368,-0.01527496,-0.04743277
140.000000,18.947368,-0.01473680,-0.04844274
141.818182,18.947368,-0.01412022,-0.04935653
143.636364,18.947368,-0.01342657,-0.05018841
145.454545,18.947368,-0.01265769,-0.05095402
147.272727,18.947368,-0.01181597,-0.05167035
149.090909,18.947368,-0.01090446,-0.05235569
150.909091,18.947368,-0.00992687,-0.05302965
152.727273,18.947368,-0.00888775,-0.05371307
154.545455,18.947368,-0.00779252,-0.05442797
156.363636,18.947368,-0.00664766,-0.05519747
158.181818,18.947368,-0.00546077,-0.05604566
160.000000,18.947368,-0.00424073,-0.05699744
161.818182,18.947368,-0.00299783,-0.05807831
163.636364,18.947368,-0.00174392,-0.05931415
165.454545,18.947368,-0.00049252,-0.06073082
167.272727,18.947368,0.00074103,-0.06235383
169.090909,18.947368,0.00193953,-0.06420780
170.909091,18.947368,0.00308385,-0.06631583
172.727273,18.947368,0.00415297,-0.06869880
174.545455,18.947368,0.00512410,-0.07137444
176.363636,18.947368,0.00597294,-0.07435636
178.181818,18.947368,0.00667403,-0.07765282
180.000000,18.947368,0.00720140,-0.08126540
0.000000,23.684211,-0.00533551,-0.09422508
1.818182,23.684211,-0.00626965,-0.09880798
3.636364,23.684211,-0.00730838,-0.10343503
5.454545,23.684211,-0.00843940,-0.10807153
7.272727,23.684211,-0.00964575,-0.11195705
9.090909,23.684211,-0.01090543,-0.11104698
10.909091,23.684211,-0.01219114,-0.10985423
12.727273,23.684211,-0.01347030,-0.10839292
14.545455,23.684211,-0.01470544,-0.10668247
16.363636,23.684211,-0.01585503,-0.10474761
18.181818,23.684211,-0.01687490,-0.10261827
20.000000,23.684211,-0.01772014,-0.10032907
21.818182,23.684211,-0.01834755,-0.09791862
23.636364,23.684211,-0.01871839,-0.09542848
25.454545,23.684211,-0.01880138,-0.09290184
27.272727,23.684211,-0.01857532,-0.09038198
29.090909,23.684211,-0.01803138,-0.08791057
30.909091,23.684211,-0.01717437,-0.08552596
32.727273,23.684211,-0.01602299,-0.08326149
34.545455,23.684211,-0.01460896,-0.08114410
36.363636,23.684211,-0.01297496,-0.07919319
38.181818,23.684211,-0.01117185,-0.07742001
40.000000,23.684211,-0.00925530,-0.07582743
41.818182,23.684211,-0.00728245,-0.07441028
43.636364,23.684211,-0.00530873,-0.07315609
45.454545,23.684211,-0.00338521,-0.07204619
47.272727,23.684211,-0.00155678,-0.07105704
49.090909,23.684211,0.00013917,-0.07016174
50.909091,23.684211,0.00167315,-0.06933149
52.727273,23.684211,0.00302359,-0.06756242
54.545455,23.684211,0.00417633,-0.06163243
56.363636,23.684211,0.00512382,-0.05595998
58.181818,23.684211,0.00586425,-0.05056017
60.000000,23.684211,0.00640051,-0.04543891
61.818182,23.684211,0.00673924,-0.04059469
63.636364,23.684211,0.00688999,-0.03602032
65.454545,23.684211,0.00686441,-0.03170442
67.272727,23.684211,0.00667558,-0.02763267
69.090909,23.684211,0.00633749,-0.02378883
70.909091,23.684211,0.00586456,-0.02015561
72.727273,23.684211,0.00527134,-0.01671526
74.545455,23.684211,0.00457225,-0.01345008
76.363636,23.684211,0.00378135,-0.01034277
78.181818,23.684211,0.00291222,-0.00737662
80.000000,23.684211,0.00197791,-0.00453575
81.818182,23.684211,0.00099080,-0.00180510
83.636364,23.684211,-0.00003735,0.00082945
85.454545,23.684211,-0.00109544,0.00338109
